"ID","CD_MIC","NM_MIC","AR_MUN_2018"
"453","42002","Chapecó","6057.565"
"454","42003","Xanxerê","4805.429"
"455","42004","Joaçaba","9067.112"
"456","42005","Concórdia","3131.202"
"457","42006","Canoinhas","9415.689"
"458","42007","São Bento do Sul","1903.194"
"459","42008","Joinville","4609.643"
"460","42009","Curitibanos","6594.953"
"461","42010","Campos de Lages","15728.892"
"462","42011","Rio do Sul","5268.576"
"463","42012","Blumenau","4744.296"
"464","42013","Itajaí","1543.404"
"465","42014","Ituporanga","1533.69"
"466","42015","Tijucas","2132.468"
"467","42016","Florianópolis","2881.424"
"468","42017","Tabuleiro","2347.614"
"469","42018","Tubarão","4637.857"
"470","42019","Criciúma","2106.498"
"471","42020","Araranguá","2967.392"
"472","43001","Santa Rosa","3456.786"
"473","43002","Três Passos","3859.532"
"474","43003","Frederico Westphalen","5165.78"
"475","43004","Erechim","5725.77"
"476","43005","Sananduva","3065.646"
"477","43006","Cerro Largo","2252.927"
"478","43007","Santo Ângelo","10760.446"
"479","43008","Ijuí","5099.308"
"480","43009","Carazinho","4934.518"
"481","43010","Passo Fundo","7071.751"
"482","43011","Cruz Alta","8453.174"
"483","43012","Não-Me-Toque","1495.042"
"484","43013","Soledade","3608.108"
"485","43014","Guaporé","3622.125"
"486","43015","Vacaria","17241.402"
"487","43016","Caxias do Sul","4967.598"
"488","43017","Santiago","11205.836"
"489","43018","Santa Maria","11734.347"
"490","43019","Restinga Seca","3003.674"
"491","43020","Santa Cruz do Sul","5561.441"
"492","43021","Lajeado-Estrela","4055.118"
"493","43022","Cachoeira do Sul","7580.566"
"494","43023","Montenegro","2081.409"
"495","43024","Gramado-Canela","2622.06"
"496","43025","São Jerônimo","4849.928"
"497","43026","Porto Alegre","5586.786"
"498","43027","Osório","8766.414"
"499","43028","Camaquã","5915.539"
"500","43029","Campanha Ocidental","31114.314"
"501","43030","Campanha Central","17292.233"
"502","43031","Campanha Meridional","14256.822"
"503","43032","Serras de Sudeste","16415.792"
"504","43033","Pelotas","10323.734"
"505","43034","Jaguarão","6326.89"
"506","43035","Litoral Lagunar","9216.442"
"507","43777","Lagoa Mirim","2859.139"
"508","43888","Lagoa dos Patos","10158.754"
"509","50001","Baixo Pantanal","83048.024"
"510","50002","Aquidauana","27734.044"
"511","50003","Alto Taquari","41666.22"
"512","50004","Campo Grande","28256.439"
"513","50005","Cassilândia","16119.706"
"514","50006","Paranaíba","17187.155"
"515","50007","Três Lagoas","47247.631"
"516","50008","Nova Andradina","13458.183"
"517","50009","Bodoquena","22610.498"
"518","50010","Dourados","37361.866"
"519","50011","Iguatemi","22455.769"
"520","51001","Aripuanã","123983.651"
"521","51002","Alta Floresta","51402.243"
"522","51003","Colíder","42750.784"
"523","51004","Parecis","59556.153"
"524","51005","Arinos","54919.968"
"525","51006","Alto Teles Pires","54555.896"
"526","51007","Sinop","50040.909"
"527","51008","Paranatinga","46818.055"
"528","51009","Norte Araguaia","84956.798"
"529","51010","Canarana","60364.672"
"530","51011","Médio Araguaia","32018.576"
"531","51012","Alto Guaporé","31352.989"
"532","51013","Tangará da Serra","22286.245"
"533","51014","Jauru","18885.144"
"534","51015","Alto Paraguai","6724.646"
"535","51016","Rosário Oeste","9480.656"
"536","51017","Cuiabá","25542.0"
"537","51018","Alto Pantanal","53405.3"
"538","51019","Primavera do Leste","10876.829"
"539","51020","Tesouro","27050.111"
"540","51021","Rondonópolis","25529.676"
"541","51022","Alto Araguaia","10705.696"
"542","52001","São Miguel do Araguaia","24389.643"
"543","52002","Rio Vermelho","20214.814"
"544","52003","Aragarças","11062.436"
"545","52004","Porangatu","35172.046"
"546","52005","Chapada dos Veadeiros","21337.618"
"547","52006","Ceres","13162.834"
"548","52007","Anápolis","8346.661"
"549","52008","Iporá","7074.21"
"550","52009","Anicuns","5487.414"
"551","52010","Goiânia","6750.642"
"552","52011","Vão do Paranã","17388.609"
"553","52012","Entorno de Brasília","38150.022"
"554","52013","Sudoeste de Goiás","56083.799"
"555","52014","Vale do Rio dos Bois","13589.107"
"556","52015","Meia Ponte","21139.382"
"557","52016","Pires do Rio","9496.251"
"558","52017","Catalão","15209.095"
"559","52018","Quirinópolis","16071.132"
"560","53001","Brasília","5760.783"
"OBS: as áreas das estruturas territoriais Lagoa Mirim, CD_GCMUN 4300001, e Lagoa dos Patos, CD_GCMUN 4300002, que foram incorporadas à área do Estado do Rio Grande do Sul segundo a Constituição Estadual de 1988, também foram incorporadas a lista de Micro Regiões acima, sob os codigos de CD_MIC 4377 e CD_MIC 4388, respectivamente visando a compatibilização no somatório de áreas total do Brasil.","","",""
